Date,Price
2017-12-07,61.73
2017-12-08,62.61
2017-12-11,62.77
2017-12-12,61.9
2017-12-13,61.09
2017-12-14,61.53
2017-12-15,62.33
2017-12-18,63.23
2017-12-19,63.72
2017-12-20,63.06
2017-12-21,64.12
2017-12-22,63.81
2017-12-26,64.75
2017-12-27,64.91
2017-12-28,66.06
2017-12-29,65.71
2018-01-01,64.8
2018-01-02,65.44
2018-01-03,65.94
2018-01-04,68.21
2018-01-05,69.15
2018-01-08,68.97
2018-01-09,69.29
2018-01-10,69.34
2018-01-11,69.17
2018-01-12,69.11
2018-01-15,70.3
2018-01-16,68.71
2018-01-17,69.45
2018-01-18,67.45
2018-01-19,67.56
2018-01-22,67.49
2018-01-23,69.96
2018-01-24,68.38
2018-01-25,69.01
2018-01-29,70.27
2018-01-30,69.61
2018-01-31,70.5
2018-02-01,69.67
2018-02-02,67.05
2018-02-05,66.41
2018-02-06,66.45
2018-02-07,66.18
2018-02-08,67.14
2018-02-09,68.53
2018-02-12,71.31
2018-02-14,70.8
2018-02-15,70.06
2018-02-16,68.97
2018-02-19,64.89
2018-02-20,65.13
2018-02-21,64.09
2018-02-22,63.76
2018-02-23,67.78
2018-02-26,68.02
2018-02-27,67.17
2018-02-28,67.16
2018-03-01,67.5
2018-03-05,65.59
2018-03-06,65.97
2018-03-07,64.77
2018-03-08,63.59
2018-03-09,60.67
2018-03-12,62.29
2018-03-13,62.88
2018-03-14,62.05
2018-03-15,61.17
2018-03-16,60.02
2018-03-19,57.49
2018-03-20,59.3
2018-03-21,58.23
2018-03-22,58.09
2018-03-23,56.65
2018-03-26,58.16
2018-03-27,59.0
2018-03-28,57.1
2018-04-02,57.88
2018-04-03,57.97
2018-04-04,56.05
2018-04-05,58.05
2018-04-06,58.72
2018-04-09,58.62
2018-04-10,60.19
2018-04-11,60.8
2018-04-12,59.84
2018-04-13,59.41
2018-04-16,59.16
2018-04-17,59.6
2018-04-18,60.16
2018-04-19,62.2
2018-04-20,60.62
2018-04-23,60.66
2018-04-24,59.76
2018-04-25,58.62
2018-04-26,57.82
2018-04-27,58.98
2018-04-30,59.49
2018-05-02,57.45
2018-05-03,58.55
2018-05-04,58.08
2018-05-07,59.65
2018-05-08,59.63
2018-05-09,60.31
2018-05-10,59.41
2018-05-11,60.73
2018-05-14,61.03
2018-05-15,62.59
2018-05-16,62.12
2018-05-17,61.03
2018-05-18,59.14
2018-05-21,57.7
2018-05-22,57.68
2018-05-23,54.01
2018-05-24,54.82
2018-05-25,56.83
2018-05-28,57.66
2018-05-29,57.53
2018-05-30,57.79
2018-05-31,57.56
2018-06-01,56.06
2018-06-04,56.62
2018-06-05,57.21
2018-06-06,57.98
2018-06-07,60.21
2018-06-08,60.05
2018-06-11,58.87
2018-06-12,58.0
2018-06-13,56.76
2018-06-14,56.95
2018-06-15,56.6
2018-06-18,55.85
2018-06-19,55.5
2018-06-20,56.33
2018-06-21,55.77
2018-06-22,56.19
2018-06-25,55.86
2018-06-26,54.95
2018-06-27,54.32
2018-06-28,54.84
2018-06-29,56.77
2018-07-02,56.05
2018-07-03,56.6
2018-07-04,57.11
2018-07-05,55.33
2018-07-06,55.35
2018-07-09,55.56
2018-07-10,56.87
2018-07-11,55.57
2018-07-12,55.52
2018-07-13,55.86
2018-07-16,51.92
2018-07-17,53.23
2018-07-18,50.42
2018-07-19,49.87
2018-07-20,50.32
2018-07-23,51.69
2018-07-24,52.74
2018-07-25,53.6
2018-07-26,53.48
2018-07-27,55.02
2018-07-30,55.3
2018-07-31,56.3
2018-08-01,55.58
2018-08-02,55.43
2018-08-03,55.45
2018-08-06,55.33
2018-08-07,57.31
2018-08-08,57.75
2018-08-09,58.59
2018-08-10,57.67
2018-08-13,56.88
2018-08-14,57.9
2018-08-16,56.76
2018-08-17,58.02
2018-08-20,59.94
2018-08-21,58.22
